name,balance,tag,url
Sky9 Capital,1110694.69,Fund,/explorer/entity/sky9-capital
Copium Capital,1042767.11,Fund,/explorer/entity/copium-capital
Auros Global,957811.44,Fund,/explorer/entity/auros
NEON,931844.32,Fund,/explorer/entity/neon-dao
Master Ventures,930514.06,Fund,/explorer/entity/master-ventures
RH Montgomery Properties,912619.68,Fund,/explorer/entity/rhmp-properties
Enigma Securities,909483.27,Fund,/explorer/entity/enigma-securities
Blue Hills Fund,731609.63,Fund,/explorer/entity/blue-hills-fund
Animoca Brands,718883.62,Fund,/explorer/entity/animoca-brands
Tokka Labs,667921.08,Fund,/explorer/entity/tokka-labs
Republic Capital,664521.97,Fund,/explorer/entity/republic-capital
Cypher Capital,663793.46,Fund,/explorer/entity/cypher-capital
Simply VC,661285.82,Fund,/explorer/entity/simply-vc
Techemy Capital,569021.99,Fund,/explorer/entity/techemy-capital
Framework Ventures,564677.37,Fund,/explorer/entity/framework-ventures
Continue Capital,539309.79,Fund,/explorer/entity/continue-capital
IOSG Ventures,515783.78,Fund,/explorer/entity/iosg-ventures
Punk Ventures DAO,512017.22,Fund,/explorer/entity/punk-ventures-dao
Ceyuan Ventures,509907.35,Fund,/explorer/entity/ceyuan-ventures
XYZETH,472329.22,Fund,/explorer/entity/xyzeth
Taureon Capital,418062.85,Fund,/explorer/entity/taureon-capital
mgnr,410796.47,Fund,/explorer/entity/mgnr
Ether Capital,356379.03,Fund,/explorer/entity/ether-capital
Fenbushi Capital,317961.59,Fund,/explorer/entity/fenbushi-capital
FBG Capital,290712.40,Fund,/explorer/entity/fbg-capital
Chain Capital,289288.59,Fund,/explorer/entity/chain-capital
1kx,270430.13,Fund,/explorer/entity/1kx
Pharos Fund (Lantern Ventures),256296.35,Fund,/explorer/entity/pharos
Peak Defi,248846.87,Fund,/explorer/entity/peak-defi
decentro.vc,236775.30,Fund,/explorer/entity/decentro-vc
Hack VC,229935.85,Fund,/explorer/entity/hack-vc
Clairvoyant Labs,212653.23,Fund,/explorer/entity/clairvoyant-labs
LD Capital,207056.12,Fund,/explorer/entity/ld-capital
DeFi Education Fund,203073.25,Fund,/explorer/entity/defi-education-fund
Exnetwork Capital,202305.59,Fund,/explorer/entity/exnetwork-capital
Fingerprints DAO,195466.91,Fund,/explorer/entity/fingerprints-dao
Big Brain Holdings,194113.18,Fund,/explorer/entity/big-brain-holdings
AngelDAO,175963.48,Fund,/explorer/entity/angeldaoorg
BR Capital,172175.55,Fund,/explorer/entity/br-capital
DV Chain,157588.17,Fund,/explorer/entity/dv-chain
Zee Prime Capital,149949.11,Fund,/explorer/entity/zee-prime-capital
Genblock,142663.33,Fund,/explorer/entity/genblock
BridgeTower Capital,134986.58,Fund,/explorer/entity/bridgetower
SNZ Holding,129805.43,Fund,/explorer/entity/snz-holding
Fundamental Labs,110454.22,Fund,/explorer/entity/fundamental-labs
CMS Holdings,109868.63,Fund,/explorer/entity/cms-holdings
Nascent,96653.65,Fund,/explorer/entity/nascent
LayerX Capital,90869.89,Fund,/explorer/entity/layerx-capital
ArkStream Capital,85114.69,Fund,/explorer/entity/arkstream-capital
Galleon,62657.40,Fund,/explorer/entity/galleon
Coin98 Ventures,55886.47,Fund,/explorer/entity/coin98-ventures
