name,balance,tag
FutureMoney Group,12845.84,Fund
K21,12792.29,Fund
Foresight Ventures,11144.23,Fund
Caballeros Capital,11116.08,Fund
Polder Fund,10028.34,Fund
Digital Finance Group,9502.29,Fund
Puzzle Ventures,9046.27,Fund
3Jane Capital,9024.91,Fund
BlockWater Management,8982.60,Fund
Delphi Digital,7788.03,Fund
Numeus Group,7596.70,Fund
Gordian Block Capital,6222.48,Fund
Coinfund,6091.64,Fund
Plutus VC,6015.17,Fund
Qilin Labs,5965.80,Fund
HTX Ventures,5959.41,Fund
Kosmos Ventures,5808.00,Fund
Mechanism Capital,5776.21,Fund
8 Decimal Capital,5650.24,Fund
LionTree,5638.80,Fund
CTF Capital,5610.44,Fund
Own.fund,5389.23,Fund
Touzi Capital,4779.76,Fund
Anti Fund,4669.98,Fund
Chapter One,4374.14,Fund
Alven Capital,4256.61,Fund
Momentum 6,4082.31,Fund
AKG Ventures,4038.00,Fund
Flow Ventures,3949.11,Fund
Keyrock,3546.24,Fund
D1 Ventures,3453.44,Fund
Nima Capital,3359.87,Fund
Abxinvest,3299.33,Fund
eGirl Capital,3287.60,Fund
Node Capital,2900.30,Fund
Sixtant,2826.22,Fund
Prycto,2779.36,Fund
Polychain Capital,2749.44,Fund
Electric Capital,2650.90,Fund
CitizenX,2633.95,Fund
Bankless VC,2566.93,Fund
Profluent Trading,2451.04,Fund
TPS Capital,2443.67,Fund
Babel Finance,2397.29,Fund
GS Capital,2367.03,Fund
Legion,2336.32,Fund
Apollo Crypto,2303.25,Fund
Inception Capital,2221.62,Fund
Yuobi Capital,2212.41,Fund
Folkvang Trading,2183.73,Fund
Mike Duboe,2147.26,Fund
Varys Capital,2070.23,Fund
A-DAM Fund,2015.83,Fund
7 O'Clock Capital,1907.17,Fund
AU21 Capital,1806.43,Fund
Everest Ventures Group,1742.75,Fund
Woorton,1624.49,Fund
BCW Group,1559.68,Fund
Digital Currency Group,1540.44,Fund
LAUNCHub Ventures,1450.61,Fund
VBC Ventures,1370.91,Fund
Gattaca Ventures,1310.19,Fund
Secure Digital Markets,1279.30,Fund
GBV Capital,1249.21,Fund
Bing Ventures,1200.39,Fund
Eden Block,1173.31,Fund
Dialectic,1114.06,Fund
Diamond Hands Capital,1052.46,Fund
Bigcoin Capital,1018.88,Fund
Brevan Howard Digital,914.12,Fund
Red Oak Cayman,899.89,Fund
Vexil Capital,898.76,Fund
Moonbag Capital,883.58,Fund
Moonrock Capital,795.20,Fund
Node Kapital,775.29,Fund
JST Digital,764.10,Fund
Superstate,758.32,Fund
Edge and Pace Crypto,757.42,Fund
Hello Capital,652.92,Fund
VolleyFire,635.27,Fund
Wavebridge,583.26,Fund
Incuba Alpha,566.15,Fund
Kirin Fund,542.77,Fund
NewTribe Capital,525.97,Fund
Astelek Crypto Fund,510.36,Fund
AP Capital,488.92,Fund
Bain Capital Ventures,412.63,Fund
Digital Asset Funds Mgmt,407.16,Fund
Red River Trading,382.25,Fund
Invictus Capital,370.60,Fund
Du Capital,367.32,Fund
Galois Capital,354.00,Fund
Pulsar,333.90,Fund
BTC12 Capital,322.34,Fund
GFS Ventures,312.21,Fund
Interchain,287.36,Fund
Next Generation Fund,282.62,Fund
Alpha Omega Capital,247.32,Fund
Antalpha,229.19,Fund
Kronos Research,228.70,Fund
Bastion Trading,220.14,Fund
Qwerty Fund,208.82,Fund
Aleph Ventures,207.68,Fund
Rarestone Capital,200.92,Fund
Dunamis Trading,194.05,Fund
Orthogonal Trading,184.41,Fund
CommPeak,183.23,Fund
Grapefruit Trading,171.80,Fund
